,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
0,Reinhardt,TANK,12.11%,52.06%,2.61%,7.15%,PC,All,2020-05-23 19:40:44.720673
1,Ana,SUPPORT,10.83%,49.93%,2.38%,9.86%,PC,All,2020-05-23 19:40:44.720673
2,Moira,SUPPORT,8.40%,50.12%,2.41%,10.70%,PC,All,2020-05-23 19:40:44.720673
3,Zarya,TANK,7.52%,52.76%,2.48%,12.32%,PC,All,2020-05-23 19:40:44.720673
4,Mercy,SUPPORT,6.44%,51.33%,2.40%,2.43%,PC,All,2020-05-23 19:40:44.720673
5,McCree,OFFENSE,4.75%,47.40%,1.77%,8.53%,PC,All,2020-05-23 19:40:44.720673
6,Lúcio,SUPPORT,4.40%,51.58%,2.06%,11.92%,PC,All,2020-05-23 19:40:44.720673
7,Ashe,OFFENSE,3.75%,53.56%,2.22%,9.79%,PC,All,2020-05-23 19:40:44.720673
8,Roadhog,TANK,3.39%,49.75%,1.80%,9.29%,PC,All,2020-05-23 19:40:44.720673
9,Sigma,TANK,3.05%,50.85%,2.22%,12.98%,PC,All,2020-05-23 19:40:44.720673
10,Genji,OFFENSE,2.92%,50.45%,2.15%,11.90%,PC,All,2020-05-23 19:40:44.720673
11,Soldier: 76,OFFENSE,2.41%,49.67%,1.87%,9.74%,PC,All,2020-05-23 19:40:44.720673
12,Junkrat,DEFENSE,2.14%,52.03%,2.65%,11.46%,PC,All,2020-05-23 19:40:44.720673
13,Wrecking Ball,TANK,2.13%,50.90%,1.84%,3.01%,PC,All,2020-05-23 19:40:44.720673
14,D.Va,TANK,2.04%,48.58%,2.16%,6.58%,PC,All,2020-05-23 19:40:44.720673
15,Echo,OFFENSE,2.03%,50.21%,1.95%,7.51%,PC,All,2020-05-23 19:40:44.720673
16,Winston,TANK,1.99%,47.88%,1.78%,6.18%,PC,All,2020-05-23 19:40:44.720673
17,Reaper,OFFENSE,1.95%,50.37%,1.88%,13.55%,PC,All,2020-05-23 19:40:44.720673
18,Brigitte,SUPPORT,1.92%,55.67%,1.78%,7.03%,PC,All,2020-05-23 19:40:44.720673
19,Baptiste,SUPPORT,1.84%,46.36%,2.58%,11.48%,PC,All,2020-05-23 19:40:44.720673
20,Orisa,TANK,1.61%,49.70%,1.87%,6.79%,PC,All,2020-05-23 19:40:44.720673
21,Doomfist,OFFENSE,1.61%,52.62%,1.86%,7.37%,PC,All,2020-05-23 19:40:44.720673
22,Hanzo,DEFENSE,1.61%,47.36%,2.03%,10.31%,PC,All,2020-05-23 19:40:44.720673
23,Tracer,OFFENSE,1.52%,49.31%,1.49%,7.16%,PC,All,2020-05-23 19:40:44.720673
24,Pharah,OFFENSE,1.51%,54.06%,1.84%,14.67%,PC,All,2020-05-23 19:40:44.720673
25,Zenyatta,SUPPORT,1.45%,53.36%,1.88%,8.14%,PC,All,2020-05-23 19:40:44.720673
26,Widowmaker,DEFENSE,1.28%,50.53%,1.47%,6.60%,PC,All,2020-05-23 19:40:44.720673
27,Torbjörn,DEFENSE,1.17%,57.48%,2.79%,7.68%,PC,All,2020-05-23 19:40:44.720673
28,Mei,DEFENSE,0.79%,48.32%,2.46%,6.80%,PC,All,2020-05-23 19:40:44.720673
29,Symmetra,SUPPORT,0.67%,57.79%,2.76%,8.99%,PC,All,2020-05-23 19:40:44.720673
30,Sombra,OFFENSE,0.47%,47.07%,1.93%,12.01%,PC,All,2020-05-23 19:40:44.720673
0,Reinhardt,TANK,12.11%,52.06%,2.61%,7.15%,PC,Bronze,2020-05-23 19:40:44.720673
1,Reinhardt,TANK,9.06%,49.25%,2.63%,7.42%,PC,Bronze,2020-05-23 19:40:44.720673
2,Mercy,SUPPORT,7.64%,46.34%,2.45%,1.78%,PC,Bronze,2020-05-23 19:40:44.720673
3,Ana,SUPPORT,7.34%,46.14%,2.38%,7.39%,PC,Bronze,2020-05-23 19:40:44.720673
4,Lúcio,SUPPORT,5.01%,49.22%,1.98%,11.09%,PC,Bronze,2020-05-23 19:40:44.720673
5,Zarya,TANK,4.97%,48.93%,2.50%,8.79%,PC,Bronze,2020-05-23 19:40:44.720673
6,Junkrat,DEFENSE,4.35%,47.71%,2.54%,12.34%,PC,Bronze,2020-05-23 19:40:44.720673
7,D.Va,TANK,3.96%,44.76%,2.65%,6.38%,PC,Bronze,2020-05-23 19:40:44.720673
8,Sigma,TANK,3.58%,47.06%,2.49%,10.65%,PC,Bronze,2020-05-23 19:40:44.720673
9,Soldier: 76,OFFENSE,3.41%,45.70%,1.82%,10.12%,PC,Bronze,2020-05-23 19:40:44.720673
10,Orisa,TANK,3.33%,48.16%,2.44%,5.81%,PC,Bronze,2020-05-23 19:40:44.720673
11,Reaper,OFFENSE,3.28%,48.04%,2.51%,14.81%,PC,Bronze,2020-05-23 19:40:44.720673
12,Roadhog,TANK,3.09%,45.49%,1.61%,7.25%,PC,Bronze,2020-05-23 19:40:44.720673
13,McCree,OFFENSE,2.93%,44.14%,1.69%,8.37%,PC,Bronze,2020-05-23 19:40:44.720673
14,Ashe,OFFENSE,2.70%,48.08%,2.34%,7.63%,PC,Bronze,2020-05-23 19:40:44.720673
15,Baptiste,SUPPORT,2.14%,45.54%,2.37%,9.72%,PC,Bronze,2020-05-23 19:40:44.720673
16,Genji,OFFENSE,2.06%,45.46%,2.08%,9.16%,PC,Bronze,2020-05-23 19:40:44.720673
17,Wrecking Ball,TANK,2.03%,47.76%,2.11%,2.50%,PC,Bronze,2020-05-23 19:40:44.720673
18,Echo,OFFENSE,2.01%,42.85%,1.74%,7.09%,PC,Bronze,2020-05-23 19:40:44.720673
19,Winston,TANK,2.00%,46.44%,1.92%,5.34%,PC,Bronze,2020-05-23 19:40:44.720673
20,Pharah,OFFENSE,1.86%,47.46%,2.01%,11.13%,PC,Bronze,2020-05-23 19:40:44.720673
21,Torbjörn,DEFENSE,1.82%,55.68%,3.23%,10.16%,PC,Bronze,2020-05-23 19:40:44.720673
22,Brigitte,SUPPORT,1.71%,52.43%,1.38%,8.59%,PC,Bronze,2020-05-23 19:40:44.720673
23,Zenyatta,SUPPORT,1.64%,50.11%,2.82%,9.45%,PC,Bronze,2020-05-23 19:40:44.720673
24,Hanzo,DEFENSE,1.47%,43.63%,2.15%,9.45%,PC,Bronze,2020-05-23 19:40:44.720673
25,Doomfist,OFFENSE,1.22%,49.81%,1.57%,8.47%,PC,Bronze,2020-05-23 19:40:44.720673
26,Mei,DEFENSE,1.15%,44.12%,2.16%,7.47%,PC,Bronze,2020-05-23 19:40:44.720673
